year_month,date,geography,type,avg_price,price_total_volume,four_zero_four_six_units,four_two_two_five_units,four_seven_seven_zero_units,total_bags,s_bags,l_bags,xl_bags,status,prod_total_volume,ratio price_total_volume vs prod_total_volume,ratio CA sold vs prod,california,prod,chile,mexico,peru,columbia
2/1/2018,2/4/2018,Los Angeles,organic,1.6,100274.88,12267.41,21472.21,0,66535.26,66486.1,49.16,0,actual,47371481,0.002116777,26.28,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/11/2018,Sacramento,conventional,1.07,554598.15,193066.47,282308.93,1180.54,78042.21,70403.14,1800.9,5838.17,actual,39307402,0.014109255,5.48,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/11/2018,Sacramento,organic,1.87,7802.04,2208.31,3192.62,0,2401.11,2401.11,0,0,actual,39307402,0.000198488,389.62,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/18/2018,Sacramento,conventional,1.19,530247.15,131656.46,330556.13,700.57,67333.99,57058.58,3145.98,7129.43,actual,51204346,0.010355511,8.04,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/18/2018,Sacramento,organic,1.88,8499.84,2140.53,3537.09,0,2822.22,2818.89,3.33,0,actual,51204346,0.000165998,501.71,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/25/2018,Sacramento,conventional,0.99,589559.59,199926,308881.68,1158.23,79593.68,72189.31,1982.31,5422.06,actual,53018743,0.011119833,8.53,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/25/2018,Sacramento,organic,1.78,9497.75,2169.03,4285.39,0,3043.33,3036.67,6.66,0,actual,53018743,0.000179139,529.78,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/4/2018,Sacramento,conventional,0.86,862337.1,262795.28,518775.3,1051.29,79715.23,71669.96,1595.61,6449.66,actual,47371481,0.018203718,3.06,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/4/2018,Sacramento,organic,1.5,8713.26,2722.6,4194,0,1796.66,1796.66,0,0,actual,47371481,0.000183935,302.47,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/11/2018,San Diego,conventional,0.93,558926.47,222366.32,136214.59,16577.9,183767.66,175708.38,5873.73,2185.55,actual,39307402,0.014219369,5.44,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/11/2018,San Diego,organic,1.88,18517.54,1101.05,8243.72,0,9172.77,9172.77,0,0,actual,39307402,0.000471095,164.16,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/18/2018,San Diego,conventional,1.23,447962.28,152250.41,119244.74,18614.87,157852.26,147616.58,7409.57,2826.11,actual,51204346,0.008748521,9.52,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/18/2018,San Diego,organic,2.05,17875.93,946.25,10002.06,0,6927.62,6917.62,10,0,actual,51204346,0.00034911,238.56,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/25/2018,San Diego,conventional,1.07,538360.91,175663.85,163499.41,15737.33,183460.32,174528.26,6291.5,2640.56,actual,53018743,0.010154162,9.35,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/25/2018,San Diego,organic,1.83,20171.93,1274.61,13035.32,0,5862,5858.67,3.33,0,actual,53018743,0.000380468,249.44,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/4/2018,San Diego,conventional,0.88,858101.65,311038.84,318396.18,23719.23,204947.4,193681.96,8547.66,2717.78,actual,47371481,0.018114309,3.07,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/4/2018,San Diego,organic,1.81,17454.74,1158.41,7388.27,0,8908.06,8908.06,0,0,actual,47371481,0.000368465,150.99,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/11/2018,San Francisco,conventional,1.32,823086.86,267695.96,405148.34,3199.77,147042.79,144064.49,120.38,2857.92,actual,39307402,0.020939742,3.69,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/11/2018,San Francisco,organic,2.22,21708.65,9960.19,9215.13,0,2533.33,2533.33,0,0,actual,39307402,0.000552279,140.03,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
2/1/2018,2/18/2018,San Francisco,conventional,1.06,1149074.92,193705.48,835774.38,2425.38,117169.68,113216.42,316.78,3636.48,actual,51204346,0.022440965,3.71,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/18/2018,San Francisco,organic,2.25,21551.76,9721.38,9543.71,0,2286.67,2283.34,3.33,0,actual,51204346,0.000420897,197.87,4264449,"(2018-02-01,2/18/2018,actual,51204346,4264449,0,46939897,0,0)",0,46939897,0,0
2/1/2018,2/25/2018,San Francisco,conventional,1.17,984000.13,383689.73,431346.38,2127.86,166836.16,162913.33,609.2,3313.63,actual,53018743,0.018559477,5.11,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/25/2018,San Francisco,organic,2.11,24475.48,9731.2,11686.51,0,3057.77,3057.77,0,0,actual,53018743,0.000461638,205.58,5031685,"(2018-02-01,2/25/2018,actual,53018743,5031685,0,47987058,0,0)",0,47987058,0,0
2/1/2018,2/4/2018,San Francisco,conventional,0.84,1706251.05,459981.14,1113987.54,2886.78,129395.59,126171.02,282.38,2942.19,actual,47371481,0.036018529,1.54,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
2/1/2018,2/4/2018,San Francisco,organic,1.34,28070.07,13610.05,12257.81,0,2202.21,2202.21,0,0,actual,47371481,0.000592552,93.89,2635471,"(2018-02-01,2/4/2018,actual,47371481,2635471,0,44736010,0,0)",0,44736010,0,0
3/1/2018,3/11/2018,California,conventional,1.11,6488605.43,2277437.31,1750118.87,108244.33,2352804.92,2230913.33,41105.34,80786.25,actual,52057338,0.124643435,1.05,6816044,"(2018-03-01,3/11/2018,actual,52057338,6816044,0,45241294,0,0)",0,45241294,0,0
3/1/2018,3/11/2018,California,organic,1.58,236822.98,32765.76,83573,0,120484.22,120465.39,18.83,0,actual,52057338,0.004549272,28.78,6816044,"(2018-03-01,3/11/2018,actual,52057338,6816044,0,45241294,0,0)",0,45241294,0,0
3/1/2018,3/18/2018,California,conventional,1.02,6802084.11,2161037.82,2305253.24,94087.86,2241705.19,2116307.93,38597.17,86800.09,actual,51922869,0.131003626,0.61,4143387,"(2018-03-01,3/18/2018,actual,51922869,4143387,0,47779482,0,0)",0,47779482,0,0
3/1/2018,3/18/2018,California,organic,1.75,202790.74,29398.11,70514.05,8.08,102870.5,102717.5,153,0,actual,51922869,0.003905615,20.43,4143387,"(2018-03-01,3/18/2018,actual,51922869,4143387,0,47779482,0,0)",0,47779482,0,0
3/1/2018,3/25/2018,California,conventional,1.04,6687009.44,1932162.02,2715163.6,92955.04,1946728.78,1827362.5,37434.21,81932.07,actual,45807126,0.14598186,0.75,4997613,"(2018-03-01,3/25/2018,actual,45807126,4997613,0,40809513,0,0)",0,40809513,0,0
3/1/2018,3/25/2018,California,organic,1.7,190257.38,29644.09,70982.1,0,89631.19,89424.11,207.08,0,actual,45807126,0.004153445,26.27,4997613,"(2018-03-01,3/25/2018,actual,45807126,4997613,0,40809513,0,0)",0,40809513,0,0
3/1/2018,3/4/2018,California,conventional,1.13,6295529.61,2380723.98,1676629.99,116796.74,2121378.9,1992549.07,47126.97,81702.86,actual,50628975,0.124346377,0.77,4863680,"(2018-03-01,3/4/2018,actual,50628975,4863680,0,45765295,0,0)",0,45765295,0,0
3/1/2018,3/4/2018,California,organic,1.57,239135.67,34245.39,67952.25,0,136938.03,136877.43,60.6,0,actual,50628975,0.004723297,20.34,4863680,"(2018-03-01,3/4/2018,actual,50628975,4863680,0,45765295,0,0)",0,45765295,0,0
3/1/2018,3/11/2018,Los Angeles,conventional,1.03,3059034.3,1152656.67,373411.39,72380.13,1460586.11,1373991.99,29875.02,56719.1,actual,52057338,0.058762788,2.23,6816044,"(2018-03-01,3/11/2018,actual,52057338,6816044,0,45241294,0,0)",0,45241294,0,0
3/1/2018,3/11/2018,Los Angeles,organic,1.39,141932.83,12839.05,36894.48,0,92199.3,92190.53,8.77,0,actual,52057338,0.002726471,48.02,6816044,"(2018-03-01,3/11/2018,actual,52057338,6816044,0,45241294,0,0)",0,45241294,0,0
3/1/2018,3/18/2018,Los Angeles,conventional,0.91,3395262.7,1116865.19,700177.12,62395.31,1515825.08,1435807.52,25385.22,54632.34,actual,51922869,0.065390506,1.22,4143387,"(2018-03-01,3/18/2018,actual,51922869,4143387,0,47779482,0,0)",0,47779482,0,0
3/1/2018,3/18/2018,Los Angeles,organic,1.72,93566.16,10829.18,30437.33,0,52299.65,52187.11,112.54,0,actual,51922869,0.001802022,44.28,4143387,"(2018-03-01,3/18/2018,actual,51922869,4143387,0,47779482,0,0)",0,47779482,0,0
3/1/2018,3/25/2018,Los Angeles,conventional,1.02,2843541.07,1007972.48,439940.61,63511.29,1332116.69,1248694.27,26861.69,56560.73,actual,45807126,0.062076391,1.76,4997613,"(2018-03-01,3/25/2018,actual,45807126,4997613,0,40809513,0,0)",0,40809513,0,0
3/1/2018,3/25/2018,Los Angeles,organic,1.74,91739.92,11197.66,29959.26,0,50583,50420.81,162.19,0,actual,45807126,0.002002743,54.48,4997613,"(2018-03-01,3/25/2018,actual,45807126,4997613,0,40809513,0,0)",0,40809513,0,0
3/1/2018,3/4/2018,Los Angeles,conventional,1.1,2667104.06,985767.65,371412.09,77531.99,1232392.33,1144956.76,33430.29,54005.28,actual,50628975,0.052679401,1.82,4863680,"(2018-03-01,3/4/2018,actual,50628975,4863680,0,45765295,0,0)",0,45765295,0,0
3/1/2018,3/4/2018,Los Angeles,organic,1.4,145608.11,14856.48,27596.01,0,103155.62,103108.51,47.11,0,actual,50628975,0.002875984,33.40,4863680,"(2018-03-01,3/4/2018,actual,50628975,4863680,0,45765295,0,0)",0,45765295,0,0
