year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2018-08-01,actual,52948354,6652168,0,29039776,17256410,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2018-12-01,actual,50045775,1900,3218701,46825174,0,0,2.38,44.8,-3.06,-3.06,-1.68,-3.06,0,-0.48,-0.26,-0.41,-0.58,-0.54,-0.66,0.27,35.7,53.8
2018-08-01,actual,48011570,8826173,705204,25537886,12942307,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2020-10-01,actual,55367338,2203774,255824,52907739,0,0,0.05,66.5,-3.1,-3.1,-3.19,-3.1,131,-1.69,-1.98,-2.11,-1.58,-1.38,-1.17,-0.08,51.7,81.3
2019-10-01,actual,48468039,0,1369502,47098535,0,0,0.16,58.8,-0.82,1.11,-1.99,-0.17,39,-1.4,-0.88,-0.98,0.3,1.35,0.97,0,44.2,73.3
2019-02-01,actual,52838523,218968,410166,52209389,0,0,8.57,40.6,2.1,2.1,5.68,2.1,0,1.71,1.42,1.04,0.85,0.77,1.06,-0.23,32.1,49.2
2018-01-01,actual,52758905,830821,449003,51479081,0,0,3.33,48.9,-3.13,-3.13,-2.34,-3.13,8,-0.12,-1.22,-0.87,-1.07,-1.22,-0.05,0.81,39.1,58.6
2019-06-01,actual,44060017,10069551,0,22660021,11330445,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2020-06-01,actual,65624404,13754827,0,39545860,12136375,187340,0.15,70.5,-1.48,-1.48,0.06,-0.83,132,-0.56,0.36,0.46,-1.05,-0.97,-0.98,0.02,56.1,84.8
2019-01-01,actual,59200492,306018,676866,58217608,0,0,5.23,46.1,0.23,-2.52,0.69,-2.17,0,0.57,0.09,0.1,-0.14,-0.25,-0.36,-0.35,36.9,55.2
2020-03-01,actual,48039847,3868964,0,44120882,50000,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2018-12-01,actual,55202354,0,2377770,52824584,0,0,2.38,44.8,-3.06,-3.06,-1.68,-3.06,0,-0.48,-0.26,-0.41,-0.58,-0.54,-0.66,0.27,35.7,53.8
2020-09-01,actual,52693480,8453470,0,39925907,4314102,0,0.04,74.2,-2.27,-2.27,-1.72,-2.27,268,-1.68,-1.67,-1.95,0.03,-1.25,-1.12,0,59.4,89
2018-01-01,actual,45299201,2698356,95491,42505354,0,0,3.33,48.9,-3.13,-3.13,-2.34,-3.13,8,-0.12,-1.22,-0.87,-1.07,-1.22,-0.05,0.81,39.1,58.6
2019-07-01,actual,51446909,12657672,0,21024383,17764854,0,0.08,75.6,-0.11,2.56,-0.32,2.37,247,-0.75,-1.21,1.57,1.57,1.11,0.95,0.02,61.1,90
2019-01-01,actual,73115987,71558,1154459,71889970,0,0,5.23,46.1,0.23,-2.52,0.69,-2.17,0,0.57,0.09,0.1,-0.14,-0.25,-0.36,-0.35,36.9,55.2
2019-11-01,actual,53112275,0,1202068,51910206,0,0,1.61,53,-1.3,-1.3,-1.68,-1.3,6,-0.43,-1.05,-0.93,-1.25,0.04,0.81,-0.15,40.4,65.6
2020-05-01,actual,51932040,16615963,0,33372360,1943716,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2018-11-01,actual,15760324,0,2283410,13476914,0,0,2.81,52.6,-2.79,-2.79,-0.2,-2.79,8,0.35,0.03,-0.16,-0.39,0.46,-1.09,0.5,40.7,64.5
2020-09-01,actual,45986305,6779219,198945,38249616,758523,0,0.04,74.2,-2.27,-2.27,-1.72,-2.27,268,-1.68,-1.67,-1.95,0.03,-1.25,-1.12,0,59.4,89
2020-02-01,actual,29476898,2489304,0,26987593,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2019-05-01,actual,50595179,9208998,0,36977263,4408917,0,2.5,58.6,2.76,2.76,3.78,2.76,14,1.91,0.95,0.89,1.17,1.03,0.97,0.04,47,70.3
2018-08-01,actual,56452066,8625095,331267,34031913,13463791,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2020-01-01,actual,65307572,319866,177780,64809925,0,0,2.06,45.4,-1.61,-1.61,-2.39,-1.61,0,-0.74,-0.1,-0.36,-0.59,-0.27,0.74,0.18,35.6,55.1
2020-04-01,actual,24945091,3115152,0,21687715,142223,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2019-12-01,actual,33408342,0,222755,33185587,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
