date,avg_price,year_month,geography,type,prices_total_volume,units_4046,units_4225,units_4770,total_bags,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
1/29/2017,1.39,1/1/2017,Jacksonville,organic,3608.79,238.27,58.03,16.05,3296.44,432.22,2864.22,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,2.43,1/1/2017,Hartford/Springfield,organic,9412.37,96.15,3494.43,9.62,5812.17,5602.31,209.86,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,0.88,1/1/2017,GreatLakes,conventional,4225245.4,636277.7,2157249.6,189356.95,1242361.15,885769.21,349032.8,7559.14,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.43,1/1/2017,TotalUS,organic,953206.1,131808.29,292584.44,3524.96,525288.41,346391.91,178896.5,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.36,1/1/2017,Northeast,conventional,4250958.55,203358.77,2913734.21,96705.28,1037160.29,969744.48,64997.68,2418.13,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.03,1/1/2017,Denver,conventional,906838.4,149313.21,268029.66,13355.19,476140.34,326361.97,149643.69,134.68,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.29,1/1/2017,Buffalo/Rochester,conventional,168230.55,2011.96,68322.14,53.84,97842.61,96319.5,1523.11,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.45,1/1/2017,SouthCarolina,organic,9692.83,344.06,3697.15,253.5,5398.12,4430.4,967.72,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.37,1/1/2017,Charlotte,conventional,196897.85,39546.13,84479.17,9918.56,62953.99,52626.61,10327.38,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.93,1/1/2017,Northeast,organic,132820.76,10226.18,29196.51,90.66,93307.41,91291.73,2015.68,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.89,1/1/2017,Sacramento,organic,6015.68,1800.88,3930.91,0,283.89,283.89,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.5,1/1/2017,Buffalo/Rochester,organic,2590.39,8.54,139.02,0,2442.83,2440.12,2.71,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.52,1/1/2017,GrandRapids,organic,2693.59,65.96,2010.96,0,616.67,616.67,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,0.58,1/1/2017,Phoenix/Tucson,conventional,1380520.76,799387.73,246921.02,16440.78,317771.23,114964.92,202520.2,286.11,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,2.44,1/1/2017,Hartford/Springfield,organic,9583.77,101.61,3410.7,9.61,6061.85,6038.97,22.88,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.19,1/1/2017,NorthernNewEngland,conventional,425000.71,13448.46,348811.57,5517.5,57223.18,57223.18,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,0.92,1/1/2017,Denver,conventional,844689.96,169103.67,249167.67,16470.81,409947.81,247424.23,162523.58,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.3,1/1/2017,Boston,conventional,577976.65,5430.5,457448.44,8522.37,106575.34,106091.75,483.59,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.67,1/1/2017,Midsouth,organic,88279.56,3414.04,43794.8,2191.38,38879.34,37053.18,1826.16,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.95,1/1/2017,Boston,organic,17555.2,8.39,1134.04,0,16412.77,15137.23,1275.54,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,2.06,1/1/2017,Boston,organic,13438.22,14.8,2181.53,0,11241.89,10636.25,605.64,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.7,1/1/2017,Charlotte,organic,7225.07,120.83,3134.68,489.12,3480.44,3126.49,353.95,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,0.89,1/1/2017,TotalUS,conventional,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
