,date,avg_price,geography,type,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax,year,month
58,2017-01-02,1.7,Charlotte,organic,120.83,3134.68,489.12,3126.49,353.95,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
59,2017-01-08,2.15,Sacramento,organic,1630.79,3665.0,0.0,396.46,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
60,2017-01-08,1.28,Orlando,conventional,118255.25,62039.01,116.51,65681.77,55671.45,5.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
61,2017-01-29,1.08,SouthCentral,organic,35172.06,5405.54,0.0,76958.46,3667.47,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
62,2017-01-15,0.93,Seattle,conventional,88731.0,212640.4,894.17,442607.26,10132.02,532.42,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
63,2017-01-02,1.91,NorthernNewEngland,organic,6.23,130.87,0.0,9076.99,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
64,2017-01-22,0.62,LosAngeles,conventional,1715034.11,663032.28,61799.24,1710186.48,39625.95,25874.51,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
65,2017-01-22,1.44,SouthCarolina,organic,321.4,3190.68,234.85,3826.57,945.57,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
66,2017-01-15,1.75,GrandRapids,organic,60.33,973.7,0.0,393.33,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
67,2017-01-15,1.39,LasVegas,organic,941.79,2918.63,0.0,5582.41,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
68,2017-01-15,1.34,Miami/FtLauderdale,conventional,251140.35,125991.87,544.78,82722.7,128082.49,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
69,2017-01-02,0.64,SouthCentral,conventional,3587283.29,1719720.01,27548.73,1105953.16,230434.03,16334.42,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
70,2017-01-08,0.73,Phoenix/Tucson,conventional,515078.84,275341.74,16071.97,140574.68,191804.69,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
71,2017-01-22,1.14,StLouis,conventional,63018.91,8315.4,105.28,54350.1,29635.26,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
72,2017-01-22,1.32,Seattle,organic,654.95,10318.19,9.24,557.91,28239.89,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
73,2017-01-08,0.99,GreatLakes,conventional,725716.77,1755106.4,195159.52,1010322.96,367740.51,13088.8,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
