year_month,date,status,prod_total_volume,region,prod_volume_region
9/1/2019,9/8/2019,actual,44957024,Chile,2405413
12/1/2020,12/13/2020,projection,49965178,Chile,176000
8/1/2018,8/12/2018,actual,56626601,Chile,0
2/1/2020,2/2/2020,actual,45414983,Chile,0
11/1/2018,11/18/2018,actual,44931673,Chile,3513150
9/1/2018,9/16/2018,actual,51398671,Chile,6299540
2/1/2019,2/10/2019,actual,39391270,Chile,497035
8/1/2019,8/4/2019,actual,39624707,Chile,94816
7/1/2018,7/15/2018,actual,52741471,Chile,0
4/1/2020,4/19/2020,actual,65731766,Chile,0
3/1/2018,3/18/2018,actual,51922869,Chile,0
11/1/2020,11/29/2020,projection,46408984,Chile,264000
9/1/2019,9/29/2019,actual,56281822,Chile,3235736
6/1/2019,6/2/2019,actual,48758242,Chile,0
8/1/2020,8/16/2020,actual,45333672,Chile,0
4/1/2019,4/14/2019,actual,71757754,Chile,0
8/1/2020,8/23/2020,actual,54176904,Chile,0
7/1/2019,7/14/2019,actual,54169319,Mexico,23998089
11/1/2018,11/11/2018,actual,7175415,Mexico,4852853
4/1/2018,4/15/2018,actual,65017211,Mexico,51947577
10/1/2018,10/21/2018,actual,41484288,Mexico,38695320
5/1/2020,5/31/2020,actual,51667453,Mexico,35634569
11/1/2018,11/25/2018,actual,70104497,Mexico,68269854
2/1/2018,2/4/2018,actual,47371481,Mexico,44736010
3/1/2018,3/11/2018,actual,52057338,Mexico,45241294
3/1/2018,3/25/2018,actual,45807126,Mexico,40809513
3/1/2019,3/3/2019,actual,56315469,Mexico,55402575
10/1/2020,10/4/2020,actual,52210342,Mexico,47788469
12/1/2019,12/15/2019,actual,48427351,Mexico,48112742
2/1/2019,2/3/2019,actual,45231823,Mexico,44421122
7/1/2018,7/29/2018,actual,49443206,Mexico,25600735
5/1/2018,5/20/2018,actual,54804644,Mexico,40946564
4/1/2019,4/28/2019,actual,43710990,Mexico,33470724
6/1/2020,6/14/2020,actual,64385710,Mexico,39424664
5/1/2019,5/12/2019,actual,45314468,Mexico,36841135
9/1/2019,9/1/2019,actual,37090495,Mexico,29806714
3/1/2019,3/24/2019,actual,47860338,Mexico,46289056
8/1/2019,8/11/2019,actual,30887574,Mexico,18955232
6/1/2018,6/17/2018,actual,50646896,Mexico,31575868
7/1/2018,7/22/2018,actual,43482853,Mexico,22437422
11/1/2019,11/10/2019,actual,43217649,Mexico,43029495
4/1/2019,4/21/2019,actual,41226066,Mexico,31142340
6/1/2018,6/10/2018,actual,54216347,Mexico,35859311
1/1/2018,1/7/2018,actual,45670156,Mexico,44251374
8/1/2019,8/25/2019,actual,48325702,Mexico,40322206
5/1/2018,5/27/2018,actual,58216425,Mexico,41926134
7/1/2020,7/19/2020,actual,55528282,Mexico,29182989
10/1/2019,10/6/2019,actual,48828843,Mexico,45673552
10/1/2020,10/11/2020,actual,56934734,Mexico,54117193
