year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-02-01,NewOrleans/Mobile,2,2018-02-25,1433462.67,1499800.49,0.046278024,1200381.31,1382407.49,0.151640298,0.83739977,0.921727589,0.100701985,53018743,5031685,0,47987058,0,0
2018-02-01,Tampa,2,2018-02-25,2056795.81,2379760.92,0.157023419,2061546.7,2668152.01,0.294247669,1.00230985,1.1211849,0.1186011,53018743,5031685,0,47987058,0,0
2018-02-01,Spokane,2,2018-02-25,388177.8,427990.83,0.102563902,417679.19,488971.14,0.170685904,1.075999684,1.142480412,0.061785082,53018743,5031685,0,47987058,0,0
2018-02-01,Dallas/FtWorth,2,2018-02-25,5249859.48,6510963.52,0.240216723,4142573.14,4798684.34,0.158382526,0.789082671,0.737016008,-0.065983787,53018743,5031685,0,47987058,0,0
2018-02-01,Syracuse,2,2018-02-25,307437.39,345095.74,0.122491119,449049.92,444922.06,-0.00919243,1.46062234,1.289271377,-0.117313667,53018743,5031685,0,47987058,0,0
2018-02-01,Orlando,2,2018-02-25,1713767.49,2115675.4,0.234517175,1753969.67,2374846.31,0.353983681,1.023458363,1.122500318,0.096771846,53018743,5031685,0,47987058,0,0
2018-02-01,SouthCentral,2,2018-02-25,28265940.52,33246506.41,0.176203792,20920242.89,24553915.24,0.17369169,0.740121946,0.738541215,-0.00213577,53018743,5031685,0,47987058,0,0
2018-02-01,California,2,2018-02-25,27185402.22,31118830.03,0.144688969,25681584.46,30223367.26,0.176849789,0.944682895,0.971224408,0.028095685,53018743,5031685,0,47987058,0,0
2018-02-01,LasVegas,2,2018-02-25,1517887.51,1647287.72,0.085250197,1360687.96,1628906.56,0.197119845,0.89643531,0.988841561,0.103081896,53018743,5031685,0,47987058,0,0
2018-02-01,Miami/FTLauderdale,2,2018-02-25,3095601.59,3509428.06,0.133682083,3233431.36,3970484.95,0.227947808,1.044524389,1.131376647,0.083150052,53018743,5031685,0,47987058,0,0
