year_month,date,status,prod_total_volume,california,chile,mexico,peru,colombia
2019-11-01,2019-11-24,actual,39597532,0,234344,39363186,0,0
2020-02-01,2020-02-16,actual,50713581,5257159,0,45456422,0,0
2018-05-01,2018-05-06,actual,43454036,13377497,0,29744685,331854,0
2018-03-01,2018-03-04,actual,50628975,4863680,0,45765295,0,0
2019-06-01,2019-06-30,actual,38519597,13700507,0,8653058,16166032,0
2020-05-01,2020-05-03,actual,57343819,17453801,0,39463348,426669,0
2020-12-01,2020-12-20,projection,50563073,0,44000,50274359,0,244713
2018-04-01,2018-04-29,actual,57879711,16473176,0,41406535,0,0
2019-09-01,2019-09-08,actual,44957024,1099090,2405413,40172513,1280008,0
2020-12-01,2020-12-13,projection,49965178,0,176000,49544465,0,244713
2018-08-01,2018-08-12,actual,56626601,7234836,0,34221295,15170470,0
2020-02-01,2020-02-02,actual,45414983,2704489,0,42710494,0,0
2018-11-01,2018-11-18,actual,44931673,0,3513150,41418523,0,0
2018-09-01,2018-09-16,actual,51398671,3782736,6299540,35153392,6163003,0
2019-02-01,2019-02-10,actual,39391270,129957,497035,38764278,0,0
2019-08-01,2019-08-04,actual,39624707,5407640,94816,22270321,11851930,0
2018-07-01,2018-07-15,actual,52741471,13081786,0,27618124,12041561,0
2020-04-01,2020-04-19,actual,65731766,15741055,0,49706264,284446,0
2018-03-01,2018-03-18,actual,51922869,4143387,0,47779482,0,0
2020-11-01,2020-11-29,projection,46408984,0,264000,45797755,0,347228
2019-09-01,2019-09-29,actual,56281822,611955,3235736,52434131,0,0
2019-06-01,2019-06-02,actual,48758242,9115908,0,29686713,9955620,0
2020-08-01,2020-08-16,actual,45333672,8693483,0,28246903,8154127,239157
2019-04-01,2019-04-14,actual,71757754,11103220,0,60654534,0,0
2020-08-01,2020-08-23,actual,54176904,7873941,0,39333180,6874119,95663
