year_month,date,status,prod_total_volume,location,prod_volume
2018-07-01,2018-07-29,actual,49443206,chile,0
2018-05-01,2018-05-20,actual,54804644,chile,0
2019-04-01,2019-04-28,actual,43710990,chile,0
2020-06-01,2020-06-14,actual,64385710,chile,0
2019-05-01,2019-05-12,actual,45314468,chile,0
2019-09-01,2019-09-01,actual,37090495,chile,1684129
2019-03-01,2019-03-24,actual,47860338,chile,0
2019-08-01,2019-08-11,actual,30887574,chile,235947
2018-06-01,2018-06-17,actual,50646896,chile,0
2018-07-01,2018-07-22,actual,43482853,chile,0
2019-11-01,2019-11-10,actual,43217649,chile,188154
2019-04-01,2019-04-21,actual,41226066,chile,0
2018-06-01,2018-06-10,actual,54216347,chile,0
2018-01-01,2018-01-07,actual,45670156,chile,519433
2019-08-01,2019-08-25,actual,48325702,chile,1245093
2018-05-01,2018-05-27,actual,58216425,chile,0
2020-07-01,2020-07-19,actual,55528282,chile,0
2019-10-01,2019-10-06,actual,48828843,chile,2628545
2020-10-01,2020-10-11,actual,56934734,chile,405483
2018-04-01,2018-04-22,actual,66889496,chile,0
2018-04-01,2018-04-01,actual,39158603,chile,0
2018-12-01,2018-12-09,actual,55009729,chile,3544679
2018-09-01,2018-09-23,actual,49322205,chile,5695958
2019-12-01,2019-12-08,actual,55662831,chile,314608
2020-11-01,2020-11-08,actual,42783020,chile,0
2019-07-01,2019-07-28,actual,53521551,chile,0
2019-05-01,2019-05-26,actual,53448347,chile,0
2019-03-01,2019-03-31,actual,57772402,chile,0
2019-02-01,2019-02-24,actual,60985301,chile,184891
2018-06-01,2018-06-24,actual,49126245,chile,0
2020-11-01,2020-11-22,projection,38427934,chile,352000
2018-06-01,2018-06-03,actual,54230134,chile,0
2020-08-01,2020-08-09,actual,52326427,chile,0
2020-03-01,2020-03-08,actual,47119478,chile,0
2020-07-01,2020-07-26,actual,59549678,chile,0
2020-11-01,2020-11-15,actual,56990553,chile,0
2019-08-01,2019-08-18,actual,49712129,chile,328453
2018-07-01,2018-07-01,actual,59868501,chile,0
2018-09-01,2018-09-09,actual,44091358,chile,1505218
2020-06-01,2020-06-28,actual,67186115,chile,0
2019-10-01,2019-10-13,actual,52027810,chile,2304294
2018-08-01,2018-08-05,actual,52948354,chile,0
2018-12-01,2018-12-16,actual,50045775,chile,3218701
2018-08-01,2018-08-26,actual,48011570,chile,705204
2020-10-01,2020-10-18,actual,55367338,chile,255824
2019-10-01,2019-10-27,actual,48468039,chile,1369502
2019-02-01,2019-02-17,actual,52838523,chile,410166
2018-01-01,2018-01-14,actual,52758905,chile,449003
2019-06-01,2019-06-09,actual,44060017,chile,0
2020-06-01,2020-06-21,actual,65624404,chile,0
2020-11-01,2020-11-01,actual,49535249,chile,0
2019-01-01,2019-01-27,actual,59200492,chile,676866
2020-03-01,2020-03-15,actual,48039847,chile,0
2018-12-01,2018-12-02,actual,55202354,chile,2377770
2020-09-01,2020-09-06,actual,52693480,chile,0
2018-01-01,2018-01-28,actual,45299201,chile,95491
2019-07-01,2019-07-07,actual,51446909,chile,0
2019-01-01,2019-01-13,actual,73115987,chile,1154459
2019-11-01,2019-11-03,actual,53112275,chile,1202068
2020-05-01,2020-05-24,actual,51932040,chile,0
2018-11-01,2018-11-04,actual,15760324,chile,2283410
2020-09-01,2020-09-20,actual,45986305,chile,198945
2020-02-01,2020-02-09,actual,29476898,chile,0
2019-05-01,2019-05-19,actual,50595179,chile,0
2018-08-01,2018-08-19,actual,56452066,chile,331267
2020-01-01,2020-01-12,actual,65307572,chile,177780
2020-04-01,2020-04-12,actual,24945091,chile,0
2019-12-01,2019-12-29,actual,33408342,chile,222755
2018-10-01,2018-10-14,actual,43609892,chile,3241640
2020-01-01,2020-01-26,actual,66647112,chile,0
2020-04-01,2020-04-05,actual,24392863,chile,0
2018-12-01,2018-12-23,actual,47448337,chile,2105644
2020-01-01,2020-01-05,actual,32537444,chile,159041
2018-05-01,2018-05-13,actual,49634250,chile,0
2019-03-01,2019-03-10,actual,55687317,chile,224208
2019-10-01,2019-10-20,actual,45213563,chile,1689204
2020-03-01,2020-03-22,actual,54765620,chile,0
2020-08-01,2020-08-02,actual,61589035,chile,0
2018-12-01,2018-12-30,actual,33740596,chile,1856008
2018-09-01,2018-09-02,actual,38516499,chile,1833426
2018-09-01,2018-09-30,actual,39213471,chile,5315922
2020-01-01,2020-01-19,actual,76375629,chile,222755
2018-02-01,2018-02-11,actual,39307402,chile,0
2020-06-01,2020-06-07,actual,54322214,chile,0
2020-08-01,2020-08-30,actual,48717827,chile,0
2020-05-01,2020-05-10,actual,68814562,chile,0
2020-09-01,2020-09-13,actual,50284383,chile,50794
2018-02-01,2018-02-25,actual,53018743,chile,0
2020-03-01,2020-03-29,actual,36225538,chile,0
2020-02-01,2020-02-23,actual,60175473,chile,0
2019-05-01,2019-05-05,actual,37778586,chile,0
2018-01-01,2018-01-21,actual,54698266,chile,445127
2019-09-01,2019-09-15,actual,51760427,chile,2831699
2020-07-01,2020-07-12,actual,52258875,chile,0
2019-12-01,2019-12-01,actual,49266022,chile,363868
2019-01-01,2019-01-06,actual,39644522,chile,1111244
2019-04-01,2019-04-07,actual,66309565,chile,0
2019-01-01,2019-01-20,actual,73262502,chile,681725
2020-12-01,2020-12-06,projection,52612612,chile,176000
2019-03-01,2019-03-17,actual,57661257,chile,45885
2019-06-01,2019-06-23,actual,43112741,chile,0
2019-09-01,2019-09-22,actual,41138734,chile,3649980
2020-05-01,2020-05-17,actual,54720342,chile,0
2019-12-01,2019-12-22,actual,49600528,chile,177780
2020-07-01,2020-07-05,actual,55217288,chile,0
2019-11-01,2019-11-17,actual,41304726,chile,89949
