,date,avg_price,geography,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
69,2017-01-15,1.62,Raleigh/Greensboro,185.33,5492.56,523.31,3842.0,167.2,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
70,2017-01-22,1.03,Dallas/FtWorth,6279.44,1204.4,0.0,21974.04,89.16,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
71,2017-01-29,1.47,Orlando,580.6,63.11,0.0,1900.01,3512.03,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
72,2017-01-29,1.43,SouthCarolina,332.61,3466.84,214.77,4009.54,1184.5,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
73,2017-01-15,1.82,SanDiego,2529.2,7637.66,0.0,993.41,418.15,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
74,2017-01-08,1.23,Seattle,537.65,11503.88,6.58,583.94,38311.93,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
75,2017-01-02,1.93,Harrisburg/Scranton,255.89,189.26,6.76,5004.63,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
76,2017-01-08,2.58,SanFrancisco,6273.0,8466.99,0.0,3347.06,9.51,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
77,2017-01-15,1.88,Cincinnati/Dayton,364.39,5229.29,0.0,715.87,40.22,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
78,2017-01-29,1.53,Atlanta,1102.57,4181.73,0.0,5.58,2040.98,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
79,2017-01-15,1.6,Roanoke,194.17,3113.34,0.0,2091.46,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
80,2017-01-08,1.4,Phoenix/Tucson,3667.93,4389.06,0.0,5140.05,47.76,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
81,2017-01-15,0.73,Denver,18780.82,3010.21,270.75,15918.63,12705.96,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
82,2017-01-29,1.3,NewOrleans/Mobile,129.28,0.0,0.0,1861.27,948.73,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
83,2017-01-02,1.28,WestTex/NewMexico,867.66,3434.02,37.3,10815.88,153.01,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
84,2017-01-22,1.31,NewOrleans/Mobile,190.38,5.98,0.0,2815.27,1016.66,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
85,2017-01-29,1.43,Tampa,263.33,46.22,0.0,2496.67,2445.51,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
86,2017-01-02,2.06,NewYork,6071.7,20105.65,1025.49,11934.77,122.94,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
87,2017-01-15,1.17,Spokane,24.44,1016.47,0.0,35.08,3395.02,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
88,2017-01-08,1.22,LasVegas,1287.54,2376.07,0.0,6938.25,39.33,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
